         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5990    0.000    0.000    0.000    0.000 :0(release_lock)
     1699    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     3417    0.000    0.000    0.000    0.000 :0(get_ident)
     5826    0.000    0.000    0.000    0.000 :0(rpartition)
     3423    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      861    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      139    0.000    0.000    0.000    0.000 :0(locals)
      139    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
      861    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
      139    0.000    0.000    0.000    0.000 :0(is_builtin)
      840    0.000    0.000    0.000    0.000 :0(find_frozen)
      839    0.000    0.000    1.609    0.002 <frozen importlib._bootstrap_external>:1496(find_spec)
     1500    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       86    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      976    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        6    0.000    0.000    0.000    0.000 :0(getcwd)
       72    0.000    0.000    0.062    0.001 <frozen importlib._bootstrap_external>:1655(_fill_cache)
     1249    0.000    0.000    0.000    0.000 :0(partition)
     6425    0.000    0.000    0.016    0.000 :0(add)
     1317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       74    0.000    0.000    0.734    0.010 <frozen zipimport>:162(find_spec)
       74    0.000    0.000    0.016    0.000 <frozen zipimport>:370(_get_module_info)
    73/72    0.000    0.000    0.719    0.010 <frozen importlib._bootstrap>:422(spec_from_loader)
       49    0.000    0.000    0.719    0.015 <frozen zipimport>:220(get_filename)
       98    0.000    0.000    1.453    0.015 <frozen zipimport>:746(_get_module_code)
       98    0.000    0.000    0.016    0.000 <frozen zipimport>:587(_get_data)
      196    0.000    0.000    0.000    0.000 :0(seek)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint16)
       98    0.000    0.000    0.000    0.000 <frozen zipimport>:566(_get_decompress_func)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:797(is_package)
      864    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
    832/3    0.000    0.000    6.797    2.266 <frozen importlib._bootstrap>:666(_load_unlocked)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
       21    0.000    0.000    0.000    0.000 :0(create_builtin)
     1865    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
      832    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
       21    0.000    0.000    0.000    0.000 :0(exec_builtin)
     1699    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      868    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       98    0.000    0.000    0.000    0.000 :0(decompress)
       98    0.000    0.000    1.438    0.015 <frozen zipimport>:693(_compile_source)
       98    0.000    0.000    0.000    0.000 <frozen zipimport>:686(_normalize_line_endings)
     1463    0.000    0.000    0.016    0.000 :0(max)
     4071    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      683    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1490    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap>:392(cached)
      808    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
     2256    0.000    0.000    0.000    0.000 :0(fspath)
    682/2    0.000    0.000    6.797    3.398 <frozen importlib._bootstrap_external>:934(exec_module)
       85    0.000    0.000   20.734    0.244 __init__.py:1(<module>)
      904    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      760    0.000    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      633    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      633    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
      633    0.000    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      633    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      633    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      964    0.000    0.000    0.000    0.000 :0(globals)
        1    0.000    0.000    0.000    0.000 _globals.py:32(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:52(__new__)
       81    0.000    0.000    0.000    0.000 __init__.py:12(set_module)
       17    0.000    0.000    0.000    0.000 enum.py:470(__prepare__)
       62    0.000    0.000    0.000    0.000 enum.py:932(_check_for_existing_members_)
       17    0.000    0.000    0.000    0.000 enum.py:346(__init__)
       45    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
